KEY;1_NOM;2_GEN;3_DAT;4_ACC;5_NOM_ART;6_GEN_ART;7_DAT_ART;8_ACC_ART
// Plural declension (without and with article)
// NOTE: Ingame pluralization use this file automatically (always index 1).
//
// Usage syntax: {lookup: TEXT; FILE_NO_EXT; INDEX}
// TEXT is the key to access a row.
// FILE_NO_EXT is the file in which TEXT should be looked up. Omit the extension.
// INDEX determines the column to be used. Can be omitted if you need index 1.
// For example, {lookup: {0}; plural; 2} looks up 2_GEN.
//

//Core

شجرة أركيان; أشجار أركيان
شجرة كاكاو برية; أشجار كاكاو برية
شجيرة توت; شجيرات توت
سمك السلور; أسماك السلور
بوماسيتا; بوماسيتات
قصيب; قصبات
أسل; أسلان
لوتس; لوتس
نينوفر; نينوفار
تنتوريا برية; تنتوريات برية
جذع أركيان مسطح; جذوع أركيان مسطحة
جذع أركيان مقطوع; جذوع أركيان مقطوعة
برج شحن; أبراج شحن
برج قذائف صغيرة; أبراج قذائف صغيرة
برج إنفيرنو; أبراج إنفيرنو
//charges
قنبلة رغوة إطفاء; قنابل رغوة إطفاء
قنبلة دخان; قنابل دخان
شحنة رغوة; شحنات رغوة
شحنة دخان; شحنات دخان
شحنة حارق; شحنات حارق
شحنة; شحنات
درع; دروع
قنبلة يدوية متفجرة; قنابل يدوية متفجرة
قفزة; قفزات
//misc

شظية أثرية; شظايا أثرية
//Anomaly
ترنيمة حقد; ترنيمات حقد
لوح نخر; ألواح نخر
شوكة نخر; شوكة نخر
تابع الفراغ; توابع الفراغ
